Time(ms),Data,RSSI,SNR
22814,Hello World,-45,11
47721,Hello World,-53,11
82805,Hello World,-65,11
121327,Hello World,-63,10
168012,Hello World,-78,10
211479,Hello World,-75,11
266767,Hello World,-84,11
314393,Hello World,-82,11
368712,Hello World,-83,11
